time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-14 00:00:00+00:00,6,6,,
2025-06-15 00:00:00+00:00,1,1,,
2025-06-16 00:00:00+00:00,4,4,,
2025-06-17 00:00:00+00:00,1,1,,
2025-06-18 00:00:00+00:00,1,1,,
2025-06-19 00:00:00+00:00,1,1,,
2025-06-20 00:00:00+00:00,1,1,,
2025-06-21 00:00:00+00:00,1,1,,
2025-06-22 00:00:00+00:00,1,1,,
2025-06-23 00:00:00+00:00,1,1,,
2025-06-24 00:00:00+00:00,1,1,,
2025-06-25 00:00:00+00:00,3,3,,
2025-06-26 00:00:00+00:00,1,1,,
